[INFO] [1783994386.920035104] [apriltag.apriltag]: camera_diag: img_age=0.066388s, ci_age=0.066388s, img_ci_skew=0.000000s, detect_ms=5.395447, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994387.922922855] [apriltag.apriltag]: camera_diag: img_age=0.066507s, ci_age=0.066507s, img_ci_skew=0.000000s, detect_ms=7.281884, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994399.930982737] [apriltag.apriltag]: camera_diag: img_age=0.066259s, ci_age=0.066259s, img_ci_skew=0.000000s, detect_ms=5.110772, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->role], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994401.001071519] [apriltag.apriltag]: camera_diag: img_age=0.066301s, ci_age=0.066301s, img_ci_skew=0.000000s, detect_ms=7.675844, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->role], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994402.066766799] [apriltag.apriltag]: camera_diag: img_age=0.066250s, ci_age=0.066250s, img_ci_skew=0.000000s, detect_ms=5.822040, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->role], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994404.203476948] [apriltag.apriltag]: camera_diag: img_age=0.066076s, ci_age=0.066076s, img_ci_skew=0.000000s, detect_ms=7.692403, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->role], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994405.671255946] [apriltag.apriltag]: camera_diag: img_age=0.066283s, ci_age=0.066283s, img_ci_skew=0.000000s, detect_ms=7.162786, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->role], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994406.672549030] [apriltag.apriltag]: camera_diag: img_age=0.068265s, ci_age=0.068265s, img_ci_skew=0.000000s, detect_ms=5.735253, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->role], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994407.738395153] [apriltag.apriltag]: camera_diag: img_age=0.066936s, ci_age=0.066936s, img_ci_skew=0.000000s, detect_ms=5.328634, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->role], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994409.139253043] [apriltag.apriltag]: camera_diag: img_age=0.066280s, ci_age=0.066280s, img_ci_skew=0.000000s, detect_ms=5.711298, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->role], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994410.673695650] [apriltag.apriltag]: camera_diag: img_age=0.066385s, ci_age=0.066385s, img_ci_skew=0.000000s, detect_ms=5.271544, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->role], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994412.007391111] [apriltag.apriltag]: camera_diag: img_age=0.066532s, ci_age=0.066532s, img_ci_skew=0.000000s, detect_ms=3.755801, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->role], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
